Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_10_1,1000,50,163,200.0,103375.8281,76322.0767,16300,10753.7514,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 36 -> 663 -> 561 -> 498 -> 438 -> 311 -> 893 -> 0,39.1947,90.0
1,0 -> 714 -> 888 -> 0,114.0674,40.0
2,0 -> 745 -> 218 -> 371 -> 643 -> 844 -> 661 -> 0,118.2516,130.0
3,0 -> 667 -> 808 -> 926 -> 964 -> 988 -> 277 -> 286 -> 355 -> 0,111.0839,130.0
4,0 -> 530 -> 444 -> 0,119.8427,30.0
5,0 -> 800 -> 442 -> 715 -> 923 -> 0,128.657,90.0
6,0 -> 488 -> 211 -> 359 -> 804 -> 824 -> 0,132.0886,100.0
7,0 -> 590 -> 873 -> 0,140.2625,30.0
8,0 -> 224 -> 312 -> 737 -> 676 -> 0,149.0207,80.0
9,0 -> 968 -> 52 -> 654 -> 918 -> 699 -> 0,154.1379,80.0
10,0 -> 278 -> 143 -> 956 -> 0,170.9856,70.0
11,0 -> 638 -> 573 -> 337 -> 947 -> 588 -> 439 -> 266 -> 0,169.1616,150.0
12,0 -> 924 -> 155 -> 702 -> 199 -> 0,146.619,60.0
13,0 -> 544 -> 511 -> 308 -> 191 -> 898 -> 915 -> 732 -> 0,186.9031,140.0
14,0 -> 933 -> 335 -> 712 -> 979 -> 0,219.6509,60.0
15,0 -> 109 -> 77 -> 417 -> 424 -> 395 -> 186 -> 0,234.4651,120.0
16,0 -> 836 -> 69 -> 796 -> 951 -> 566 -> 21 -> 0,188.5943,120.0
17,0 -> 725 -> 39 -> 857 -> 0,259.5331,50.0
18,0 -> 945 -> 46 -> 0,259.6416,30.0
19,0 -> 125 -> 954 -> 404 -> 782 -> 256 -> 510 -> 0,258.6764,100.0
20,0 -> 581 -> 612 -> 904 -> 855 -> 13 -> 78 -> 794 -> 971 -> 376 -> 0,198.8326,170.0
21,0 -> 615 -> 305 -> 30 -> 900 -> 25 -> 1000 -> 0,258.1916,120.0
22,0 -> 997 -> 87 -> 585 -> 120 -> 521 -> 996 -> 0,186.8279,150.0
23,0 -> 658 -> 464 -> 0,299.9958,40.0
24,0 -> 801 -> 987 -> 193 -> 670 -> 207 -> 0,292.1616,110.0
25,0 -> 760 -> 272 -> 321 -> 353 -> 405 -> 548 -> 0,309.2473,100.0
26,0 -> 136 -> 644 -> 398 -> 0,240.5902,50.0
27,0 -> 545 -> 8 -> 880 -> 524 -> 0,330.764,90.0
28,0 -> 473 -> 40 -> 282 -> 298 -> 781 -> 23 -> 493 -> 0,313.4005,150.0
29,0 -> 856 -> 758 -> 774 -> 410 -> 5 -> 477 -> 0,210.3629,130.0
30,0 -> 238 -> 287 -> 772 -> 506 -> 471 -> 260 -> 0,328.1535,120.0
31,0 -> 734 -> 228 -> 107 -> 162 -> 992 -> 583 -> 0,319.7638,110.0
32,0 -> 130 -> 656 -> 771 -> 761 -> 168 -> 281 -> 0,319.3876,130.0
33,0 -> 183 -> 368 -> 541 -> 680 -> 0,353.4045,80.0
34,0 -> 66 -> 246 -> 227 -> 383 -> 297 -> 0,354.2627,90.0
35,0 -> 57 -> 131 -> 593 -> 0,332.855,40.0
36,0 -> 388 -> 520 -> 686 -> 327 -> 348 -> 0,348.5841,120.0
37,0 -> 813 -> 840 -> 463 -> 586 -> 906 -> 886 -> 174 -> 811 -> 0,341.61,120.0
38,0 -> 660 -> 402 -> 279 -> 31 -> 276 -> 263 -> 0,314.8591,100.0
39,0 -> 726 -> 542 -> 928 -> 619 -> 446 -> 15 -> 0,374.1191,120.0
40,0 -> 72 -> 969 -> 213 -> 251 -> 455 -> 252 -> 86 -> 485 -> 0,377.2977,150.0
41,0 -> 122 -> 678 -> 47 -> 0,403.7825,40.0
42,0 -> 508 -> 952 -> 41 -> 0,408.2977,40.0
43,0 -> 819 -> 679 -> 604 -> 742 -> 610 -> 703 -> 59 -> 140 -> 0,355.0947,120.0
44,0 -> 116 -> 986 -> 910 -> 850 -> 828 -> 567 -> 71 -> 862 -> 0,406.3707,110.0
45,0 -> 167 -> 293 -> 495 -> 420 -> 576 -> 0,349.0301,80.0
46,0 -> 365 -> 776 -> 157 -> 863 -> 0,416.9089,80.0
47,0 -> 565 -> 983 -> 0,347.3364,30.0
48,0 -> 783 -> 640 -> 861 -> 339 -> 748 -> 325 -> 673 -> 735 -> 0,343.7252,170.0
49,0 -> 597 -> 626 -> 751 -> 0,372.8524,60.0
50,0 -> 356 -> 472 -> 393 -> 967 -> 474 -> 688 -> 315 -> 919 -> 0,429.407,140.0
51,0 -> 963 -> 254 -> 152 -> 112 -> 29 -> 757 -> 860 -> 221 -> 0,426.0982,120.0
52,0 -> 294 -> 456 -> 499 -> 169 -> 0,442.6196,110.0
53,0 -> 158 -> 592 -> 817 -> 0,445.1391,50.0
54,0 -> 940 -> 534 -> 738 -> 807 -> 314 -> 239 -> 220 -> 55 -> 883 -> 637 -> 0,427.2458,200.0
55,0 -> 231 -> 1 -> 496 -> 166 -> 515 -> 307 -> 687 -> 617 -> 0,318.9799,160.0
56,0 -> 411 -> 563 -> 818 -> 27 -> 189 -> 153 -> 0,360.0475,130.0
57,0 -> 562 -> 148 -> 291 -> 90 -> 519 -> 0,326.406,60.0
58,0 -> 577 -> 533 -> 329 -> 249 -> 20 -> 689 -> 905 -> 225 -> 0,259.7455,120.0
59,0 -> 380 -> 258 -> 317 -> 505 -> 628 -> 0,465.8342,70.0
60,0 -> 306 -> 504 -> 766 -> 343 -> 930 -> 646 -> 230 -> 0,369.1335,110.0
61,0 -> 815 -> 149 -> 332 -> 345 -> 936 -> 739 -> 391 -> 0,468.6055,160.0
62,0 -> 623 -> 250 -> 572 -> 950 -> 881 -> 0,448.0182,100.0
