Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_2_2,200,50,29,200.0,29176.264,4889.4486,2900,21386.8154,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 20 -> 179 -> 27 -> 173 -> 154 -> 61 -> 0,84.1156,120.0
1,0 -> 101 -> 12 -> 129 -> 11 -> 6 -> 139 -> 0,155.2602,90.0
2,0 -> 45 -> 178 -> 58 -> 184 -> 199 -> 37 -> 138 -> 0,174.9849,90.0
3,0 -> 21 -> 23 -> 192 -> 43 -> 2 -> 39 -> 0,208.6759,130.0
4,0 -> 113 -> 175 -> 78 -> 13 -> 90 -> 107 -> 0,61.7202,80.0
5,0 -> 57 -> 118 -> 83 -> 143 -> 176 -> 33 -> 165 -> 188 -> 0,130.2029,130.0
6,0 -> 177 -> 3 -> 88 -> 22 -> 151 -> 16 -> 140 -> 111 -> 56 -> 0,226.2759,170.0
7,0 -> 170 -> 134 -> 50 -> 156 -> 112 -> 168 -> 29 -> 42 -> 123 -> 0,150.0463,150.0
8,0 -> 28 -> 131 -> 44 -> 35 -> 126 -> 1 -> 0,159.35,120.0
9,0 -> 109 -> 133 -> 26 -> 152 -> 24 -> 100 -> 64 -> 0,121.2961,130.0
10,0 -> 161 -> 104 -> 18 -> 8 -> 186 -> 98 -> 187 -> 142 -> 0,202.729,140.0
11,0 -> 155 -> 17 -> 119 -> 54 -> 132 -> 7 -> 117 -> 49 -> 0,213.0448,140.0
12,0 -> 190 -> 5 -> 10 -> 193 -> 128 -> 167 -> 95 -> 158 -> 0,143.1096,140.0
13,0 -> 164 -> 66 -> 147 -> 160 -> 70 -> 0,113.1086,130.0
14,0 -> 75 -> 163 -> 182 -> 40 -> 194 -> 145 -> 15 -> 0,239.4034,140.0
15,0 -> 196 -> 48 -> 59 -> 31 -> 25 -> 77 -> 110 -> 0,159.0104,110.0
16,0 -> 148 -> 103 -> 197 -> 200 -> 162 -> 0,153.0376,130.0
17,0 -> 67 -> 73 -> 124 -> 141 -> 69 -> 174 -> 0,220.2524,110.0
18,0 -> 41 -> 85 -> 172 -> 80 -> 97 -> 14 -> 105 -> 149 -> 0,157.9595,140.0
19,0 -> 60 -> 82 -> 84 -> 46 -> 121 -> 0,180.9685,80.0
20,0 -> 34 -> 106 -> 137 -> 81 -> 0,195.962,40.0
21,0 -> 30 -> 120 -> 19 -> 89 -> 153 -> 79 -> 87 -> 0,158.3361,120.0
22,0 -> 36 -> 72 -> 180 -> 191 -> 125 -> 4 -> 108 -> 0,172.5697,150.0
23,0 -> 114 -> 159 -> 38 -> 150 -> 63 -> 96 -> 130 -> 74 -> 0,197.3713,100.0
24,0 -> 62 -> 76 -> 68 -> 102 -> 146 -> 169 -> 195 -> 52 -> 92 -> 198 -> 0,173.9602,180.0
25,0 -> 53 -> 144 -> 166 -> 55 -> 71 -> 9 -> 99 -> 0,143.7642,130.0
26,0 -> 93 -> 135 -> 181 -> 185 -> 127 -> 157 -> 183 -> 0,197.0373,110.0
27,0 -> 116 -> 91 -> 86 -> 47 -> 122 -> 0,195.7665,90.0
28,0 -> 32 -> 171 -> 65 -> 94 -> 115 -> 51 -> 136 -> 189 -> 0,200.1296,140.0
