Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_2_2,200,50,27,200.0,45597.5187,5893.5422,2700,37003.9765,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 101 -> 27 -> 173 -> 154 -> 24 -> 61 -> 100 -> 64 -> 0,135.1688,120.0
1,0 -> 45 -> 48 -> 150 -> 97 -> 79 -> 0,280.418,80.0
2,0 -> 67 -> 119 -> 199 -> 167 -> 162 -> 0,286.2965,100.0
3,0 -> 177 -> 3 -> 58 -> 184 -> 132 -> 7 -> 1 -> 99 -> 0,250.4914,140.0
4,0 -> 170 -> 134 -> 50 -> 156 -> 112 -> 194 -> 29 -> 87 -> 123 -> 0,190.7671,150.0
5,0 -> 30 -> 120 -> 26 -> 152 -> 40 -> 153 -> 169 -> 105 -> 15 -> 198 -> 0,123.9769,170.0
6,0 -> 135 -> 159 -> 38 -> 22 -> 151 -> 16 -> 140 -> 187 -> 142 -> 111 -> 56 -> 0,192.6572,180.0
7,0 -> 10 -> 5 -> 83 -> 35 -> 126 -> 71 -> 166 -> 144 -> 0,174.3851,130.0
8,0 -> 104 -> 88 -> 146 -> 145 -> 195 -> 52 -> 149 -> 0,313.6676,150.0
9,0 -> 93 -> 55 -> 18 -> 8 -> 186 -> 98 -> 157 -> 49 -> 0,202.7207,160.0
10,0 -> 155 -> 65 -> 69 -> 174 -> 0,245.8082,80.0
11,0 -> 106 -> 82 -> 193 -> 46 -> 125 -> 4 -> 165 -> 188 -> 108 -> 0,205.651,120.0
12,0 -> 148 -> 41 -> 160 -> 70 -> 0,219.7871,110.0
13,0 -> 75 -> 163 -> 168 -> 96 -> 42 -> 0,232.9705,90.0
14,0 -> 36 -> 84 -> 127 -> 92 -> 0,382.2552,60.0
15,0 -> 57 -> 118 -> 143 -> 191 -> 33 -> 9 -> 183 -> 0,214.3029,130.0
16,0 -> 113 -> 175 -> 78 -> 17 -> 13 -> 43 -> 2 -> 90 -> 39 -> 0,72.379,130.0
17,0 -> 20 -> 178 -> 80 -> 31 -> 25 -> 85 -> 77 -> 110 -> 0,126.6222,140.0
18,0 -> 164 -> 66 -> 12 -> 129 -> 11 -> 6 -> 73 -> 139 -> 107 -> 0,113.3928,170.0
19,0 -> 190 -> 72 -> 180 -> 176 -> 128 -> 34 -> 121 -> 95 -> 158 -> 0,218.4463,180.0
20,0 -> 147 -> 200 -> 197 -> 94 -> 115 -> 86 -> 51 -> 136 -> 0,218.917,140.0
21,0 -> 76 -> 68 -> 53 -> 60 -> 122 -> 171 -> 189 -> 0,368.889,120.0
22,0 -> 21 -> 23 -> 182 -> 59 -> 196 -> 14 -> 28 -> 0,189.2685,130.0
23,0 -> 179 -> 133 -> 89 -> 141 -> 124 -> 172 -> 130 -> 74 -> 0,288.0696,110.0
24,0 -> 62 -> 131 -> 44 -> 192 -> 19 -> 114 -> 63 -> 117 -> 0,211.5742,150.0
25,0 -> 161 -> 181 -> 185 -> 54 -> 137 -> 37 -> 81 -> 138 -> 0,192.8666,130.0
26,0 -> 32 -> 103 -> 91 -> 47 -> 116 -> 109 -> 102 -> 0,241.7929,160.0
