Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_2_1,100,50,17,200.0,4805.3283,2725.513,1700,379.8153,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 78 -> 13 -> 43 -> 2 -> 90 -> 67 -> 39 -> 0,53.4449,120.0
1,0 -> 41 -> 85 -> 80 -> 24 -> 61 -> 0,86.0461,80.0
2,0 -> 45 -> 27 -> 11 -> 6 -> 0,101.005,70.0
3,0 -> 73 -> 12 -> 91 -> 70 -> 0,103.967,80.0
4,0 -> 48 -> 26 -> 40 -> 79 -> 29 -> 87 -> 42 -> 0,150.4075,130.0
5,0 -> 30 -> 19 -> 68 -> 76 -> 96 -> 28 -> 74 -> 0,119.5847,120.0
6,0 -> 57 -> 83 -> 35 -> 71 -> 9 -> 1 -> 99 -> 53 -> 0,148.8451,120.0
7,0 -> 5 -> 10 -> 46 -> 4 -> 34 -> 95 -> 0,170.489,90.0
8,0 -> 66 -> 47 -> 69 -> 77 -> 0,169.696,80.0
9,0 -> 55 -> 18 -> 54 -> 7 -> 17 -> 0,194.8999,100.0
10,0 -> 3 -> 88 -> 8 -> 98 -> 49 -> 63 -> 0,216.1941,150.0
11,0 -> 32 -> 65 -> 86 -> 94 -> 51 -> 0,195.6107,70.0
12,0 -> 20 -> 50 -> 31 -> 25 -> 100 -> 64 -> 0,169.4728,110.0
13,0 -> 62 -> 44 -> 58 -> 37 -> 81 -> 56 -> 0,184.2889,90.0
14,0 -> 21 -> 23 -> 75 -> 97 -> 14 -> 89 -> 15 -> 59 -> 0,193.0232,180.0
15,0 -> 60 -> 82 -> 84 -> 36 -> 33 -> 72 -> 0,203.362,140.0
16,0 -> 93 -> 38 -> 22 -> 16 -> 52 -> 92 -> 0,265.1761,70.0
