Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_2_1,100,50,28,200.0,8238.0387,5052.875,2800,385.1637,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 9 -> 0,78.1025,20.0
1,0 -> 85 -> 31 -> 25 -> 77 -> 0,88.9196,60.0
2,0 -> 81 -> 0,99.0353,10.0
3,0 -> 45 -> 50 -> 16 -> 53 -> 0,248.7252,50.0
4,0 -> 5 -> 43 -> 2 -> 0,130.6937,60.0
5,0 -> 73 -> 11 -> 91 -> 70 -> 0,106.185,90.0
6,0 -> 44 -> 22 -> 37 -> 39 -> 0,185.8496,60.0
7,0 -> 27 -> 13 -> 36 -> 33 -> 0,172.8617,100.0
8,0 -> 66 -> 61 -> 67 -> 0,147.5376,60.0
9,0 -> 48 -> 26 -> 40 -> 89 -> 52 -> 0,159.0704,90.0
10,0 -> 35 -> 7 -> 0,162.9999,30.0
11,0 -> 78 -> 64 -> 42 -> 0,160.3825,60.0
12,0 -> 60 -> 83 -> 46 -> 34 -> 95 -> 0,183.9513,70.0
13,0 -> 57 -> 10 -> 84 -> 90 -> 17 -> 0,185.0954,60.0
14,0 -> 88 -> 63 -> 0,187.3615,50.0
15,0 -> 62 -> 38 -> 24 -> 0,188.6937,40.0
16,0 -> 65 -> 94 -> 0,190.1011,40.0
17,0 -> 32 -> 69 -> 100 -> 0,188.7888,50.0
18,0 -> 20 -> 86 -> 51 -> 0,208.0542,50.0
19,0 -> 23 -> 80 -> 68 -> 0,212.0728,50.0
20,0 -> 41 -> 75 -> 79 -> 29 -> 87 -> 74 -> 0,208.6606,110.0
21,0 -> 21 -> 97 -> 14 -> 96 -> 15 -> 0,175.5991,90.0
22,0 -> 30 -> 76 -> 28 -> 59 -> 0,116.0431,90.0
23,0 -> 3 -> 58 -> 71 -> 1 -> 99 -> 0,193.328,90.0
24,0 -> 12 -> 47 -> 6 -> 72 -> 0,226.3586,90.0
25,0 -> 82 -> 54 -> 49 -> 56 -> 0,280.056,80.0
26,0 -> 19 -> 8 -> 98 -> 92 -> 0,310.4976,80.0
27,0 -> 93 -> 55 -> 18 -> 4 -> 0,257.85,70.0
